"ID","CytB","Tub","Vtg1","DN43530","DN46820","DN48887","DN47904","Tissue","Ref.Gmean","Vtg1.nor","DN43530.nor","DN46820.nor","DN48887.nor","DN47904.nor","MuscleCol"
424,17.5,25.7,17.6,36.4,29.2,30.6,999,"FB",21.2073100604485,-3.6073100604485,15.1926899395515,7.9926899395515,9.3926899395515,999,"Pink"
426,16.3,25.7,17.9,34.2,29.9,30.9,999,"FB",20.4672909785345,-2.5672909785345,13.7327090214655,9.4327090214655,10.4327090214655,999,"White"
428,16.2,25.2,19.2,34.2,31.7,31.1,999,"FB",20.2049498885793,-1.00494988857929,13.9950501114207,11.4950501114207,10.8950501114207,999,"Pink"
430,15.9,23.7,17.8,32,29.2,29,999,"FB",19.4121096226041,-1.61210962260413,12.5878903773959,9.78789037739587,9.58789037739587,999,"White"
432,17.1,24,17.3,31.5,33.5,32.4,999,"FB",20.258331619361,-2.95833161936097,11.241668380639,13.241668380639,12.141668380639,999,"Pink"
434,16.1,24.8,18.3,35.6,29.7,30.5,999,"FB",19.9819918927018,-1.68199189270179,15.6180081072982,9.71800810729821,10.5180081072982,999,"Pink"
425,17.7,27.2,17.2,38.4,31.1,32.5,999,"FB",21.941741043044,-4.74174104304396,16.458258956956,9.15825895695604,10.558258956956,999,"Pink"
427,17.8,21.7,14.7,31.7,31.1,29,999,"FB",19.6534984163126,-4.95349841631256,12.0465015836874,11.4465015836874,9.34650158368744,999,"Pink"
429,16.3,26.8,17.2,33,30.6,30.5,999,"FB",20.9007176910268,-3.70071769102679,12.0992823089732,9.69928230897321,9.59928230897321,999,"White"
431,16.8,24.2,16.5,32,30.2,28.6,999,"FB",20.1633330578057,-3.66333305780569,11.8366669421943,10.0366669421943,8.43666694219431,999,"Pink"
433,16.4,24.2,17.8,35,29,31,999,"FB",19.9218473039023,-2.12184730390232,15.0781526960977,9.07815269609768,11.0781526960977,999,"Pink"
424,16.3,23,23.8,32.4,30.4,26.3,999,"Ovary",19.3623345699841,4.43766543001594,13.0376654300159,11.0376654300159,6.93766543001594,999,"Pink"
426,14.9,22.3,23.5,33.7,32.2,27.9,999,"Ovary",18.2282747400844,5.27172525991557,15.4717252599156,13.9717252599156,9.67172525991557,999,"White"
428,16.7,22.4,26.6,31.9,30.5,25,999,"Ovary",19.3411478459785,7.25885215402147,12.5588521540215,11.1588521540215,5.65885215402147,999,"Pink"
430,15.3,23.6,24.8,32.4,30.4,27.2,999,"Ovary",19.0021051465357,5.79789485346426,13.3978948534643,11.3978948534643,8.19789485346426,999,"White"
432,16.3,22.5,26.2,31.3,30.3,26,999,"Ovary",19.1507180022056,7.04928199779444,12.1492819977944,11.1492819977944,6.84928199779445,999,"Pink"
434,16.5,23.5,24.9,34.7,28.5,25.1,999,"Ovary",19.6913686675152,5.20863133248478,15.0086313324848,8.80863133248478,5.40863133248478,999,"Pink"
425,14.7,22.4,25.4,30.9,30.7,26.3,999,"Ovary",18.146073955542,7.25392604445799,12.753926044458,12.553926044458,8.15392604445799,999,"Pink"
427,15.3,21.2,23.1,31.6,30.3,23.7,999,"Ovary",18.0099972237644,5.09000277623564,13.5900027762356,12.2900027762356,5.69000277623564,999,"Pink"
429,15.3,21.7,24.8,31.1,29.3,23.9,999,"Ovary",18.2211415668723,6.57885843312774,12.8788584331277,11.0788584331277,5.67885843312774,999,"White"
431,16,22.2,25.5,30.4,29.8,23.2,999,"Ovary",18.8467503830236,6.65324961697641,11.5532496169764,10.9532496169764,4.35324961697641,999,"Pink"
433,16.1,22,26,31.6,30.3,24.7,999,"Ovary",18.8202019117755,7.17979808822445,12.7797980882245,11.4797980882245,5.87979808822445,999,"Pink"
